Species,Category,Counties,Percent_Counties,Area,Percent_Area,Observations
Alliaria petiolata,Total,947,1,,,160328
Celastrus orbiculatus,Total,561,1,,,17022
Euonymus fortunei,Total,365,1,,,3326
Spiraea japonica,Total,146,1,,,2741
Murdannia keisak,Total,187,1,,,1280
Buglossoides arvensis ,Total,470,1,,,16514
Securigera varia,Total,911,1,,,36912
Reynoutria japonica,Total,798,1,,,27777
Lysimachia nummularia,Total,739,1,,,100171
Verbascum thapsus,Total,1501,1,,,83977
Microstegium vimineum ,Total,800,1,,,21159
Alnus glutinosa,Total,191,1,,,299963
Bassia scoparia,Total,581,1,,,5868
Bromus tectorum,Total,1054,1,,,44671
Carpobrotus chilensis,Total,25,1,,,805
Centaurea solstitialis,Total,217,1,,,28666
Datura stramonium,Total,684,1,,,59943
Elaeagnus umbellata,Total,1035,1,,,33289
Euphorbia esula,Total,630,1,,,107079
Hypericum perforatum,Total,948,1,,,248868
Lactuca serriola,Total,1296,1,,,94757
Lonicera maackii,Total,638,1,,,8760
Pittosporum undulatum,Total,15,1,,,19609
Poa annua,Total,1071,1,,,265799
Polygonum convolvulus,Total,604,1,,,2229
Senecio vulgaris,Total,644,1,,,164856
Setaria italica subsp. viridis,Total,855,1,,,3290
Sisymbrium irio,Total,136,1,,,11402
Solanum nigrum,Total,413,1,,,93798
Thlaspi arvense,Total,882,1,,,53207
Alliaria petiolata,Proto3,947,1,7700159.89,0.812540143,
Celastrus orbiculatus,Proto3,555,0.989304813,4980412.1,0.525545549,
Euonymus fortunei,Proto3,364,0.997260274,5832475.55,0.615457417,
Spiraea japonica,Proto3,146,1,4977590.4,0.525247796,
Murdannia keisak,Proto3,185,0.989304813,3137201.43,0.331045346,
Buglossoides arvensis ,Proto3,470,1,8234733.78,0.868949718,
Securigera varia,Proto3,911,1,7823413.9,0.825546214,
Reynoutria japonica,Proto3,781,0.978696742,4835577.29,0.510262218,
Lysimachia nummularia,Proto3,739,1,7623133.1,0.804412083,
Verbascum thapsus,Proto3,1501,1,9290506.62,0.98035751,
Microstegium vimineum ,Proto3,799,0.99875,3863773.32,0.407715031,
Alnus glutinosa,Proto3,191,1,9290044.082,0.980308702,
Bassia scoparia,Proto3,581,1,8894081.881,0.938525779,
Bromus tectorum,Proto3,1054,1,9290044.082,0.980308702,
Carpobrotus chilensis,Proto3,24,0.96,868724.4625,0.091669979,
Centaurea solstitialis,Proto3,204,0.940092166,6751518.476,0.712437127,
Datura stramonium,Proto3,684,1,8936053.165,0.942954694,
Elaeagnus umbellata,Proto3,1035,1,5287919.779,0.557994529,
Euphorbia esula,Proto3,630,1,9308925.983,0.982301167,
Hypericum perforatum,Proto3,948,1,9310886.423,0.982508038,
Lactuca serriola,Proto3,1296,1,9290506.616,0.98035751,
Lonicera maackii,Proto3,637,0.998432602,7392057.409,0.780028398,
Pittosporum undulatum,Proto3,15,1,1858277.672,0.196090111,
Poa annua,Proto3,1071,1,9215577.583,0.97245081,
Polygonum convolvulus,Proto3,604,1,9286720.715,0.979958012,
Senecio vulgaris,Proto3,644,1,9329481.644,0.984470252,
